pid id fid mid
1 7858 0 0
1 7872 0 0
1 7886 0 0
1 7898 0 0
1 8001 0 0
1 8015 0 0
1 8033 0 0
1 8095 0 0
1 8220 0 0
1 8223 0 0
1 8334 0 0
1 8337 0 0
1 8343 0 0
1 8349 0 0
1 8357 0 0
1 8601 0 0
1 8604 0 0
1 8664 0 0
1 8732 0 0
1 8780 0 0
1 8868 0 0
1 8998 0 0
1 9002 0 0
1 9005 0 0
1 9110 0 0
1 9140 0 0
1 9224 0 0
1 9240 0 0
1 9250 0 0
1 9259 0 0
1 9350 0 0
1 9447 0 0
1 9525 0 0
1 9558 0 0
1 9808 0 0
1 9925 0 0
1 9952 0 0
1 10008 0 0
1 10024 0 0
1 10110 0 0
1 10163 0 0
1 10189 0 0
1 10192 0 0
1 10205 0 0
1 10227 0 0
1 10232 0 0
1 10263 0 0
1 10283 0 0
1 10323 0 0
1 10339 0 0
1 10438 0 0
1 10503 0 0
1 10522 0 0
1 10610 0 0
2 1229 3572 3184
2 3184 0 0
3 866 0 0
3 2629 866 9
3 2694 1309 7066
3 7066 866 9
4 10107 8548 14
5 6794 1965 18
6 8660 9492 24
7 2026 42 2856
7 2856 0 0
7 4724 42 2856
7 5187 42 2856
7 7513 42 2856
8 181 6655 56
8 2648 6655 56
9 2411 5549 7986
9 2963 69 8468
9 4138 5549 7986
9 4416 69 8468
9 6264 5549 7986
9 7472 4704 1590
10 1577 6555 103
10 4903 6555 103
10 10183 10594 1577
11 119 0 0
11 337 2744 4656
11 633 9810 119
11 2744 2557 119
11 4073 2744 4656
11 4451 8899 7517
11 4656 0 0
11 4705 2557 119
11 5010 2744 4656
11 6544 2744 4656
11 7338 10659 4705
11 7517 2557 119
11 7563 8899 7517
11 7996 7575 633
11 8782 10660 4705
12 650 9991 10546
12 955 1384 7352
12 3225 1384 7352
12 3696 1384 7352
12 4014 808 6546
12 5243 9991 10546
12 5663 808 6546
12 7352 0 0
12 9356 1384 7352
13 3954 9684 2394
13 7448 9684 2394
13 9684 902 139
14 142 0 0
14 1190 142 285
14 1449 142 285
14 2155 10293 10421
14 2738 0 0
14 3877 1190 10120
14 6970 1449 2738
14 7282 1190 10120
14 7359 10293 10421
14 7577 142 285
14 8955 1449 2738
14 10006 142 285
14 10013 1449 2738
14 10293 0 0
14 10421 142 285
15 4242 5326 7716
15 5326 8725 144
15 5914 5326 7716
15 8725 0 0
16 483 9234 2051
16 1150 8683 8936
16 2051 1152 145
16 4630 9234 2051
16 6280 8683 8936
16 8683 0 0
16 8936 1152 145
16 9569 9234 2051
17 7074 7087 5542
17 7087 9336 4556
18 3806 0 0
18 6141 3806 167
18 8646 3806 167
19 204 5577 168
19 812 7396 204
19 2301 7396 204
19 5750 7396 204
20 61 9867 6257
20 529 9099 4944
20 1653 3642 4055
20 2226 0 0
20 3598 1653 5410
20 4078 1653 5410
20 4944 10789 4094
20 5390 9099 4944
20 5778 3642 4055
20 6218 5778 2226
20 6359 1653 5410
20 6620 9850 5725
20 6981 0 0
20 7117 6981 7776
20 7609 1653 5410
20 7626 10629 5410
20 7776 3642 4055
20 9099 0 0
20 9650 9099 4944
20 9850 6981 7776
20 10297 6981 7776
21 3621 9638 188
21 7557 9638 188
22 494 0 0
22 649 494 8958
22 2596 379 200
22 2654 2596 4494
22 4494 0 0
22 8824 2596 4494
22 8920 494 8958
22 9032 494 8958
23 377 4718 3656
23 2996 202 7850
23 3656 202 7850
23 7261 0 0
23 8012 7261 2996
23 8496 4718 3656
23 9871 7261 2996
24 105 6269 4165
24 219 0 0
24 1275 5876 2243
24 1293 9444 7572
24 2243 8168 6153
24 2544 4421 219
24 2839 6269 4165
24 2993 9444 7572
24 3845 9444 7572
24 4064 5876 2243
24 4165 8168 6153
24 4441 9444 7572
24 4649 5876 2243
24 4832 6269 4165
24 5876 4421 219
24 6120 4421 219
24 6269 0 0
24 6816 5876 2243
24 7655 8168 6153
24 9189 6269 4165
24 9246 6269 4165
24 9444 8168 6153
24 9485 5876 2243
24 10407 6269 4165
25 630 7971 2165
25 873 7971 2165
26 5991 7879 8620
27 585 1064 621
27 621 233 6
27 3705 1064 621
27 4949 1064 621
27 7266 6059 10231
28 635 249 1769
29 1768 7633 4563
29 4563 0 0
29 6855 7633 4563
29 7633 4879 261
29 8681 7633 4563
30 1028 1379 6845
30 6845 265 4030
31 2549 1455 267
31 6490 0 0
31 7041 6490 2549
32 748 1044 268
32 1044 0 0
32 8127 1044 268
32 8206 1044 268
33 10621 8971 6691
34 281 0 0
34 6924 0 0
34 7340 281 6924
34 9435 281 6924
34 10007 281 6924
35 1824 0 0
35 1934 685 1824
35 5603 685 1824
35 5748 685 1824
35 6230 685 1824
35 9039 685 1824
36 7124 295 4759
37 3114 5532 9182
37 5142 0 0
37 9182 5142 302
38 6131 2945 6442
38 6339 2945 6442
38 6442 0 0
38 8026 2945 6442
38 10395 8857 4111
39 4058 319 2879
39 5587 6912 4610
39 5956 6912 4610
39 6912 319 2879
39 8036 4058 2552
39 8042 319 2879
39 10358 4058 10693
40 3946 0 0
40 4044 4875 3946
40 4875 324 4803
40 7760 4875 3946
41 1818 1389 10147
41 3402 10664 10367
41 3666 1203 519
41 5388 7336 4139
41 8579 1818 10367
41 9433 1818 10367
41 9819 342 8816
41 10228 7336 4139
42 316 6161 9398
42 4798 6161 9398
42 9392 6161 9398
42 10240 10318 3067
43 1123 8479 1250
43 3381 8479 1250
43 9203 0 0
44 288 2035 614
44 767 4101 3992
44 1405 0 0
44 1516 2035 614
44 1756 471 361
44 2035 9577 8710
44 2177 6859 10524
44 2292 2035 614
44 2614 6859 10524
44 3799 6859 10524
44 3992 0 0
44 4366 4101 3992
44 5774 2517 918
44 7214 1405 1756
44 9751 6859 10524
44 10524 471 361
45 2434 4954 6519
45 2764 4954 6519
45 3149 4954 6519
45 6519 388 1224
45 9106 388 1224
46 1494 398 2912
46 2334 6684 1494
46 3653 6684 1494
46 4624 6684 1494
46 6307 6684 1494
46 8286 6684 1494
46 8559 6684 1494
46 9644 10284 7528
47 5593 1506 410
47 10626 1483 5593
48 1299 3535 6858
48 3535 7949 423
49 287 9911 1166
49 386 2402 424
49 424 0 0
49 623 6701 1607
49 1191 0 0
49 1328 6701 1607
49 1607 2402 424
49 2537 7887 2217
49 3963 1004 4819
49 4813 6701 1607
49 4819 4994 1244
49 5759 7887 2217
49 6598 7887 2217
49 6701 0 0
49 8256 4994 1244
49 8754 6701 1607
49 9663 1191 386
50 257 0 0
50 3411 257 4037
50 4037 425 3477
50 10099 257 4037
51 4177 8967 10474
51 4439 4477 429
51 4715 4477 429
51 6495 8967 10474
51 10077 8967 10474
51 10474 4477 429
52 2579 2697 4784
52 4327 2697 4784
52 4461 2697 4784
52 4472 2697 4784
52 4763 2697 4784
52 4784 0 0
